data	avg_judgment_no	kri_full	kri_annotator2,mean_others	kri_annotator1,mean_others	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator1,annotator2	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator2,mean_others	spr_annotator1,mean_others	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator2	spr_annotator0,annotator1	overlap_annotator1,annotator2	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	1.170150420003907	0.41325726427845244	0.526560464565717	0.386525567599726	0.6040719968166609	0.32172063072210655	0.37454890695306475	0.21305228508323582	0.3996585339845432	0.6967222189202603	0.29922330414554876	0.18916756057359096	0.5612643442635675	0.5691612436925494	0.5674549288185765	0.5406837247835317	0.6421070134535742	0.5238774317118408	0.5484739182155425	0.5169027994085317	178	310	235	2331	1785	1874	5990	799	1152	1645	1885	509
бог	1.0782122905027933	0.38380861244019127	0.4375	0.3217404396266186	0.375	0.37316176470588236	0.4983333333333334	0.0	0.6531442145439268	0.5361036890377682	0.6547381617189798	0.8575240755934912	0.4834047254530909	0.4927992798267444	0.5	0.32732683535398854	0.408248290463863	0.5135525910130955	0.5773502691896257	nan	5	4	5	63	62	68	193	1	36	90	59	7
время	1.0792079207920793	0.1395952626524879	0.19761844969027276	-0.053694374475230955	0.005102040816326592	0.12130141190914667	-0.20039682539682557	0.14833333333333332	0.28556658266948	0.44397825054090245	-0.031175557078569893	0.08337641728686684	0.1981362696944579	0.19989989776816622	0.21199957600127198	0.13046561461068845	0.24152294576982397	0.33838168464348733	0.12247448713915891	0.23570226039551584	7	6	4	64	61	93	218	40	63	79	35	1
год	1.144927536231884	0.1629470862058806	0.47579887218045114	0.12243062692702988	0.6190476190476191	-0.05511482254697264	0.5211009174311927	-0.09484454939000408	0.23461630521510246	0.7220225199394184	0.5282150065145457	-0.3032474721173892	0.3010051805809867	0.28033015885005846	0.46709936649691375	0.08223919396586149	0.6123724356957946	-0.13041013273932522	0.3952847075210474	-0.16666666666666666	9	5	7	78	90	69	237	37	14	58	72	56
голова	1.0988372093023255	0.49124118778038883	0.5973863229502328	0.3628626692456479	-0.2333333333333334	0.5843834125665845	0.802	0.46091445427728617	0.3934087574465819	0.34252666305771395	0.7481028355625231	0.3616979019701142	0.7697313155807844	0.8015401186017828	0.6627334956636112	0.6223407746139281	nan	0.794340210047563	0.9128709291752769	0.6902093080282886	3	5	9	64	64	61	189	17	65	36	67	4
город	1.162162162162162	-0.05868725868725866	-0.08653846153846145	nan	nan	-0.09469696969696972	-0.1785714285714286	nan	0.630983148424852	1.0	-0.011780542648981651	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	7	7	6	82	96	80	258	5	5	23	151	74
государство	1.0994764397905759	-0.18645889792231252	0.08686823104693142	-0.41742252456538154	0.0	-0.20430107526881702	0.10689890710382521	-0.46250000000000013	-0.11371555570990832	0.6516295649505741	0.17058496455548566	-0.6919185973271467	-0.15997372793023107	-0.25497865394331276	0.05196746370519362	-0.5635535401295892	nan	-0.20597146021777485	0.15670935878004125	-0.6666666666666667	2	8	5	78	72	60	210	18	18	66	94	14
дело	1.453151618398637	-0.23356663367547714	-0.05485480087773831	-0.5168994993068003	0.30619909502262443	-0.266605143809594	-0.1437244254182397	-0.5417267194636306	-0.20938943048097491	0.6089854598898983	-0.06149643726502818	-0.6096773819160721	0.47109282027151883	0.4694702752815208	0.4925930684239192	0.31664654513550566	0.5303300858899107	0.43367908266126226	0.5175518401768094	0.36052889977784236	10	111	52	578	60	215	853	333	194	155	36	135
день	1.224	0.40694995664282163	0.44625388032117985	0.2856506717850287	0.3839285714285715	0.407680779014566	0.4023315345233154	0.13532377919320593	0.521367912149463	0.6632079686310614	0.4343889379375103	0.3716329616687456	0.38008431755879934	0.3631782219225858	0.4682094472127096	0.30475663917206247	0.40827406290102547	0.41446056606707765	0.5341262462099916	0.14713435665674038	12	22	16	103	100	103	306	20	83	99	66	38
друг	1.1016949152542372	0.8667584825341179	0.8534180543382998	0.8913770053475936	1.0	0.8852217602217602	0.8748062015503876	0.8055555555555556	0.8330194024075299	1.0	0.8364888473315926	0.6978803010697598	0.9832872823957126	0.989415278850618	0.8760629765021543	0.9363291775690443	1.0	0.9723448696087956	0.9682458365518543	1.0	5	10	4	72	61	62	195	42	36	16	101	0
жена	1.0977011494252873	0.09017431504381046	-0.21111111111111103	0.2767141220749467	nan	0.05485405972498025	-0.30000000000000004	0.254056193114365	0.32027507867565286	1.0	0.15589794453213435	0.33323626539255624	0.6831300510639731	0.6831300510639731	nan	0.5827715174143585	nan	0.5204164998665333	nan	0.6831300510639731	3	7	7	69	61	61	191	5	14	19	147	6
женщина	1.0939226519337018	0.1712361712361712	0.0	0.10716739180215251	nan	0.10912698412698407	0.0	-0.14030612244897966	0.4966827988182081	1.0	0.6915235186651508	0.20289166709551598	0.7637626158259733	0.7637626158259733	nan	0.5380275868489703	nan	0.5345224838248488	nan	0.7637626158259733	5	6	7	72	61	65	198	0	4	51	143	0
жизнь	1.1216931216931216	0.21155566418184035	0.29768022316840403	0.262605435801312	0.375	0.15059777967549115	0.27040816326530615	0.125	0.5477112849821728	0.6967315044220982	0.5922507170633284	0.3566831827876723	0.5284449414963818	0.4485426135725303	0.286696529134642	0.3038218101251	0.6210590034081188	0.27778447597957956	0.724568837309472	0.0	8	7	4	69	83	60	212	12	38	89	42	31
лицо	1.094972067039106	0.3642464407417474	0.6691011235955056	0.34037120079720984	0.9	0.054136546184739065	0.4019370460048426	-0.4126984126984128	0.3025601582224987	0.9082990332543052	0.3122551599943423	-0.19225391590806984	0.7041903627251914	0.7142696805273546	0.8198915917499229	0.5852415272859052	0.9428090415820634	0.6926893922273593	1.0	0.20000000000000007	4	7	6	75	60	61	196	39	36	45	70	6
место	1.161825726141079	0.21664325740687973	0.3257484640216599	0.14627729544856627	0.27081529581529584	0.19757860397097704	0.4774999999999999	0.041554508748317565	0.5266625559698803	0.5842884535820865	0.6616350538450545	0.4653303252294049	0.4409807172338019	0.43767676863010657	0.4069913022951197	0.4069667798598961	0.6158236896537975	0.2807222374769319	0.45	0.24720661623652213	15	10	14	100	97	83	280	8	101	117	49	5
мир	1.204225352112676	0.4047855310374835	0.5593103913695282	0.3743995454916583	0.4761877771060057	0.20826821864166267	0.36486952960449337	-0.05251419302514204	0.27178576420321865	0.5651590583457187	0.03515067855083709	-0.2164871742744119	0.586176480086646	0.5908443312699826	0.5713466498236265	0.6072659358876255	0.4716785004273757	0.6240010218348884	0.5670654153684719	0.7337890780140999	16	20	15	121	108	113	342	63	88	95	60	36
ночь	1.1229050279329609	0.028708133971291794	-0.010695187165775444	-0.36363636363636376	-0.4444444444444444	0.5	0.45833333333333337	nan	0.34854432314405603	0.03122327485468379	0.6440522292775817	1.0	0.5477225575051661	0.5477225575051661	0.3042903097250923	nan	nan	0.5773502691896257	0.5477225575051661	nan	7	7	1	75	60	66	201	0	5	55	125	16
работа	1.1363636363636365	0.14134997163925123	0.5923507462686567	-0.08262668819572916	0.29601648351648346	0.05611936431162545	0.889795918367347	-0.3799999999999999	0.39119267229959176	0.6186743412152175	0.9175488303310708	-0.07346161028406684	0.6652551874760453	0.7088111254655693	0.6830195182512154	0.5198364538508299	0.6900655593423541	0.44954337210128403	0.9166666666666666	0.5197011503876874	8	5	10	73	67	60	200	12	49	84	36	19
результат	1.111731843575419	-0.021477089963385154	-0.2539231601731602	0.5386184328492021	0.6857142857142857	-0.25536898839137656	-0.7314814814814812	0.3736111111111111	0.17507054863127836	0.792113103692468	-0.493328154520011	0.5015194929488341	0.565685424949238	0.565685424949238	0.0	0.5345224838248488	0.7071067811865475	-0.1991718390927877	nan	0.4242640687119286	6	6	6	60	78	61	199	6	28	69	78	18
рука	1.1092896174863387	0.6147153351698806	0.47207602339181287	0.8217015903351307	0.6944444444444444	0.5528846153846154	0.28500000000000003	1.0	0.7151012353060326	0.7449064897422832	0.4046277580102874	1.0	0.7531809710423605	0.7257566344915117	0.599288766633993	0.8684519297052395	0.894427190999916	0.5731181684201878	0.28284271247461906	0.9999999999999999	6	6	8	71	62	70	203	0	15	55	131	2
сила	1.2062780269058295	0.14772704340069653	0.30862732301016826	0.221709232769831	0.46985157699443414	-0.12998690090656773	-0.051324762262262125	-0.28430374592833885	0.07253423273015613	0.6954047041377799	-0.5087119188540081	-0.4487579889475639	0.418370039419686	0.42498205468905237	0.5397152815158154	0.3008820336039242	0.5692750425533109	0.4093851783705955	0.4105866760885192	0.29508444542532697	14	18	16	84	99	86	269	63	74	72	44	16
слово	1.0571428571428572	0.485550847457627	0.763558201058201	0.30006377551020413	0.5375	0.47416020671834624	1.0	0.2171052631578948	0.5659805945378713	0.7015814273402534	1.0	0.2872751989790856	0.5966178597807101	0.6638482164839251	0.7666666666666669	0.3427327726154263	0.5443310539518174	0.5720775535473555	0.9999999999999999	0.4472135954999579	4	2	4	64	60	61	185	21	34	88	39	3
сторона	1.2236286919831223	0.26065654390450266	0.14724042302414564	0.6169987103430488	0.7528108465608465	0.15603313185583167	-0.02024640657084209	0.5258656885990911	0.2778797524387342	0.8273208694273109	-0.16041873190279077	0.5511810358182376	0.4556843313988185	0.5209703408164373	0.12482165605257058	0.6742606819441876	0.7686879173959366	0.21893399991157256	-0.014744195615489711	0.808967300668865	12	20	16	93	102	95	290	35	92	76	66	21
тысяча	1.0963855421686748	0.6313878080415045	0.35357142857142854	0.7390778955196133	0.0	0.5450078177350905	0.07499999999999996	0.5935960591133005	0.6218249695279441	0.6434427837643734	0.313433459775897	0.48485691361568606	0.6613657884614681	0.5944141361983977	0.3703280399090206	0.8889601111067741	nan	0.811444763428034	0.3042903097250923	0.8845379626717029	5	5	8	62	60	60	182	14	38	50	80	0
человек	1.1024096385542168	0.11043478260869555	0.12848605577689243	0.1960151802656548	0.3642857142857143	0.022594880847307985	-0.05167958656330751	0.10666666666666669	0.20693549493715735	0.5076356682392393	-0.024200951173156016	0.2586874106073942	0.10465430220203047	0.11940903345994362	0.08872121839090166	0.23063280200722128	0.3227486121839514	0.03717309095950136	-0.1166666666666667	0.15214515486254615	5	6	5	61	61	61	183	8	22	58	94	1
